game_id,play_no,wp
401228269,33,0.523
401228269,34,0.595
401228269,35,0.48
401228269,36,0.51
401228269,37,0.533
401228269,38,0.55
401228269,39,0.519
401228269,40,0.496
401228269,41,0.478
401228269,42,0.432
401228269,43,0.538
401228269,44,0.554
401228269,45,0.517
401228269,46,0.492
401228269,47,0.474
401228269,48,0.429
401228269,49,0.495
401228269,50,0.502
401228269,51,0.564
401228269,52,0.523
401228269,53,0.545
401228269,54,0.487
401228269,55,0.542
401228269,56,0.592
401228269,57,0.632
401228269,58,0.581
401228269,59,0.536
401228269,60,0.496
401228269,61,0.569
401228269,62,0.519
401228269,63,0.61
401228269,64,0.684
401228269,65,0.615
401228269,66,0.554
401228269,67,0.574
401228269,68,0.613
401228269,69,1.0
401228109,0,0.627
401228109,1,0.647
401228109,2,0.661
401228109,3,0.76
401228109,4,0.79
401228109,5,0.718
401228109,6,0.733
401228109,7,0.7
401228109,8,0.729
401228109,9,0.749
401228109,10,0.761
401228109,11,0.738
401228109,12,0.72
401228109,13,0.702
401228109,14,0.73
401228109,15,0.693
401228109,16,0.711
401228109,17,0.749
401228109,18,0.736
401228109,19,0.715
401228109,20,0.824
401228109,21,0.829
401228109,22,0.808
401228109,23,0.839
401228109,24,0.804
401228109,25,0.76
401228109,26,0.824
401228109,27,0.879
401228109,28,0.893
401228109,29,0.933
401228109,30,0.968
401228109,31,0.95
401228109,32,0.936
401228109,33,0.99
401228109,34,0.99
401228109,35,0.993
401228109,36,0.995
401228109,37,0.995
401228109,38,0.996
401228109,39,0.995
401228109,40,0.994
401228109,41,0.993
401228109,42,0.997
401228109,43,0.993
401228109,44,0.984
401228109,45,0.994
401228109,46,0.999
401228109,47,0.999
401228109,48,0.999
401228109,49,0.999
401228109,50,0.999
401228109,51,0.996
401228109,52,0.99
401228109,53,0.978
401228109,54,0.983
401228109,55,0.996
401228109,56,0.986
401228109,57,1.0
401227766,0,0.29
401227766,1,0.26
401227766,2,0.287
401227766,3,0.311
401227766,4,0.296
401227766,5,0.329
401227766,6,0.309
401227766,7,0.342
401227766,8,0.309
401227766,9,0.288
401227766,10,0.303
401227766,11,0.314
401227766,12,0.304
401227766,13,0.318
401227766,14,0.298
401227766,15,0.286
401227766,16,0.281
401227766,17,0.298
401227766,18,0.313
401227766,19,0.323
401227766,20,0.302
401227766,21,0.293
401227766,22,0.31
401227766,23,0.291
401227766,24,0.265
401227766,25,0.182
401227766,26,0.188
401227766,27,0.207
401227766,28,0.223
401227766,29,0.199
401227766,30,0.226
401227766,31,0.197
401227766,32,0.176
401227766,33,0.188
401227766,34,0.198
401227766,35,0.192
401227766,36,0.206
401227766,37,0.186
401227766,38,0.174
401227766,39,0.173
401227766,40,0.186
401227766,41,0.196
401227766,42,0.202
401227766,43,0.175
401227766,44,0.221
401227766,45,0.187
401227766,46,0.146
401227766,47,0.158
401227766,48,0.164
401227766,49,0.169
401227766,50,0.138
401227766,51,0.118
401227766,52,0.149
401227766,53,0.109
401227766,54,0.092
401227766,55,0.108
401227766,56,0.033
401227766,57,0.035
401227766,58,0.036
401227766,59,0.026
401227766,60,0.018
401227766,61,0.015
401227766,62,0.016
401227766,63,0.017
401227766,64,0.018
401227766,65,0.037
401227766,66,0.073
401227766,67,0.035
401227766,68,0.083
401227766,69,0.162
401227766,70,0.067
401227766,71,0.0
401228570,0,0.492
401228570,1,0.509
401228570,2,0.519
401228570,3,0.5
401228570,4,0.488
401228570,5,0.481
401228570,6,0.507
401228570,7,0.482
401228570,8,0.513
401228570,9,0.488
401228570,10,0.216
401228570,11,0.209
401228570,12,0.22
401228570,13,0.2
401228570,14,0.188
401228570,15,0.199
401228570,16,0.183
401228570,17,0.161
401228570,18,0.12
401228570,19,0.15
401228570,20,0.188
401228570,21,0.176
401228570,22,0.212
401228570,23,0.194
401228570,24,0.186
401228570,25,0.181
401228570,26,0.161
401228570,27,0.131
401228570,28,0.14
401228570,29,0.089
401228570,30,0.117
401228570,31,0.136
401228570,32,0.208
401228570,33,0.271
401228570,34,0.225
401228570,35,0.162
401228570,36,0.1
401228570,37,0.09
401228570,38,0.094
401228570,39,0.105
401228570,40,0.115
401228570,41,0.098
401228570,42,0.119
401228570,43,0.102
401228570,44,0.086
401228570,45,0.094
401228570,46,0.099
401228570,47,0.103
401228570,48,0.174
401228570,49,0.15
401228570,50,0.131
401228570,51,0.121
401228570,52,0.131
401228570,53,0.138
401228570,54,0.072
401228570,55,0.066
401228570,56,0.074
401228570,57,0.122
401228570,58,0.191
401228570,59,0.141
401228570,60,0.102
401228570,61,0.081
401228570,62,0.086
401228570,63,0.09
401228570,64,0.085
401228570,65,0.041
401228570,66,0.045
401228570,67,0.081
401228570,68,0.048
401228570,69,0.108
401228570,70,0.044
401228570,71,0.012
401228570,72,0.013
401228570,73,0.012
401228570,74,0.013
401228570,75,0.014
401228570,76,0.004
401228570,77,0.001
401228570,78,0.0
401228763,0,0.539
401228763,1,0.56
401228763,2,0.575
401228763,3,0.549
401228763,4,0.529
401228763,5,0.514
401228763,6,0.479
401228763,7,0.519
